Logging to /home/admin2/svjdm/experiments/ablation_structure_20260312.log

############################################################
# Training-Strategy Ablation — d = 50
############################################################

============================================================
  Adam + Constant LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001000 | 0.5s
  Epoch  100 | Loss 1.5042e-02 | Y0 0.070415 | 21.3s
  Epoch  200 | Loss 7.8551e-03 | Y0 0.082790 | 42.1s
  Epoch  300 | Loss 7.5790e-03 | Y0 0.084140 | 63.0s
  Epoch  400 | Loss 6.2160e-03 | Y0 0.083724 | 83.7s
  Epoch  500 | Loss 5.8636e-03 | Y0 0.083274 | 104.4s
  Epoch  600 | Loss 5.5426e-03 | Y0 0.083683 | 125.4s
  Epoch  700 | Loss 5.0349e-03 | Y0 0.083845 | 146.2s
  Epoch  800 | Loss 4.5062e-03 | Y0 0.082827 | 167.0s
  Epoch  900 | Loss 4.3406e-03 | Y0 0.083706 | 187.9s
  Epoch 1000 | Loss 3.8068e-03 | Y0 0.083794 | 208.7s
  Epoch 1100 | Loss 3.7094e-03 | Y0 0.083704 | 229.3s
  Epoch 1200 | Loss 3.3640e-03 | Y0 0.084082 | 250.2s
  Epoch 1300 | Loss 3.3044e-03 | Y0 0.083042 | 271.0s
  Epoch 1400 | Loss 2.9851e-03 | Y0 0.084118 | 291.8s
  Epoch 1500 | Loss 3.0765e-03 | Y0 0.084075 | 312.7s
  Epoch 1600 | Loss 2.8317e-03 | Y0 0.083496 | 333.4s
  Epoch 1700 | Loss 2.6752e-03 | Y0 0.083008 | 354.2s
  Epoch 1800 | Loss 2.5377e-03 | Y0 0.084107 | 375.0s
  Epoch 1900 | Loss 2.6971e-03 | Y0 0.083569 | 395.7s
  Epoch 2000 | Loss 2.5320e-03 | Y0 0.084261 | 416.5s
  Epoch 2100 | Loss 2.2796e-03 | Y0 0.083968 | 437.3s
  Epoch 2200 | Loss 2.2899e-03 | Y0 0.083163 | 458.1s
  Epoch 2300 | Loss 2.2463e-03 | Y0 0.083580 | 478.8s
  Epoch 2400 | Loss 2.1929e-03 | Y0 0.083744 | 499.6s
  Epoch 2500 | Loss 2.4043e-03 | Y0 0.083097 | 520.4s
  Epoch 2600 | Loss 2.3025e-03 | Y0 0.083895 | 541.3s
  Epoch 2700 | Loss 2.0659e-03 | Y0 0.084426 | 562.2s
  Epoch 2800 | Loss 1.9836e-03 | Y0 0.083740 | 582.9s
  Epoch 2900 | Loss 1.8066e-03 | Y0 0.083079 | 603.8s
  Epoch 2999 | Loss 2.1432e-03 | Y0 0.083578 | 624.3s
Training complete.  Y0 = 0.083578  (624.3s)

============================================================
  AdamW + Constant LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001000 | 0.2s
  Epoch  100 | Loss 1.5006e-02 | Y0 0.070330 | 21.4s
  Epoch  200 | Loss 7.9854e-03 | Y0 0.082788 | 42.6s
  Epoch  300 | Loss 7.7024e-03 | Y0 0.084025 | 63.7s
  Epoch  400 | Loss 6.1592e-03 | Y0 0.083752 | 84.9s
  Epoch  500 | Loss 5.8660e-03 | Y0 0.083381 | 105.9s
  Epoch  600 | Loss 5.4950e-03 | Y0 0.083452 | 126.9s
  Epoch  700 | Loss 4.9133e-03 | Y0 0.084082 | 148.1s
  Epoch  800 | Loss 4.4645e-03 | Y0 0.082805 | 169.2s
  Epoch  900 | Loss 4.2075e-03 | Y0 0.083650 | 190.3s
  Epoch 1000 | Loss 3.7190e-03 | Y0 0.083658 | 211.5s
  Epoch 1100 | Loss 3.5882e-03 | Y0 0.083669 | 232.6s
  Epoch 1200 | Loss 3.3776e-03 | Y0 0.084077 | 253.8s
  Epoch 1300 | Loss 3.2826e-03 | Y0 0.083059 | 275.0s
  Epoch 1400 | Loss 2.8468e-03 | Y0 0.084260 | 296.1s
  Epoch 1500 | Loss 2.8857e-03 | Y0 0.084180 | 317.4s
  Epoch 1600 | Loss 2.8179e-03 | Y0 0.083319 | 338.6s
  Epoch 1700 | Loss 2.5520e-03 | Y0 0.082983 | 359.8s
  Epoch 1800 | Loss 2.5396e-03 | Y0 0.084273 | 381.1s
  Epoch 1900 | Loss 2.7310e-03 | Y0 0.083762 | 402.3s
  Epoch 2000 | Loss 2.4759e-03 | Y0 0.084221 | 423.4s
  Epoch 2100 | Loss 2.2440e-03 | Y0 0.084040 | 444.7s
  Epoch 2200 | Loss 2.3281e-03 | Y0 0.083092 | 465.8s
  Epoch 2300 | Loss 2.2567e-03 | Y0 0.083455 | 486.9s
  Epoch 2400 | Loss 2.2245e-03 | Y0 0.083693 | 508.1s
  Epoch 2500 | Loss 2.3591e-03 | Y0 0.083097 | 529.2s
  Epoch 2600 | Loss 2.2292e-03 | Y0 0.083622 | 550.4s
  Epoch 2700 | Loss 1.9996e-03 | Y0 0.084283 | 571.5s
  Epoch 2800 | Loss 1.9369e-03 | Y0 0.083583 | 592.4s
  Epoch 2900 | Loss 1.8458e-03 | Y0 0.083137 | 613.4s
  Epoch 2999 | Loss 2.1659e-03 | Y0 0.083613 | 634.4s
Training complete.  Y0 = 0.083613  (634.4s)

============================================================
  Adam + Scheduled LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001000 | 0.2s
  Epoch  100 | Loss 1.5042e-02 | Y0 0.070415 | 21.2s
  Epoch  200 | Loss 7.8551e-03 | Y0 0.082790 | 42.3s
  Epoch  300 | Loss 7.5790e-03 | Y0 0.084140 | 63.4s
  Epoch  400 | Loss 6.2160e-03 | Y0 0.083724 | 84.7s
  Epoch  500 | Loss 5.8636e-03 | Y0 0.083274 | 105.6s
  Epoch  600 | Loss 5.5426e-03 | Y0 0.083683 | 126.6s
  Epoch  700 | Loss 5.0349e-03 | Y0 0.083845 | 147.8s
  Epoch  800 | Loss 4.5062e-03 | Y0 0.082827 | 168.8s
  Epoch  900 | Loss 4.3406e-03 | Y0 0.083706 | 189.8s
  Epoch 1000 | Loss 3.8068e-03 | Y0 0.083794 | 211.0s
  Epoch 1100 | Loss 3.7094e-03 | Y0 0.083704 | 231.9s
  Epoch 1200 | Loss 3.3640e-03 | Y0 0.084082 | 253.0s
  Epoch 1300 | Loss 3.3044e-03 | Y0 0.083042 | 274.2s
  Epoch 1400 | Loss 2.9851e-03 | Y0 0.084118 | 295.3s
  Epoch 1500 | Loss 3.0765e-03 | Y0 0.084075 | 316.3s
  Epoch 1600 | Loss 2.0956e-03 | Y0 0.083815 | 337.4s
  Epoch 1700 | Loss 1.9879e-03 | Y0 0.083750 | 358.5s
  Epoch 1800 | Loss 1.6980e-03 | Y0 0.083596 | 379.5s
  Epoch 1900 | Loss 1.8647e-03 | Y0 0.083646 | 400.5s
  Epoch 2000 | Loss 1.9666e-03 | Y0 0.083483 | 421.5s
  Epoch 2100 | Loss 1.8258e-03 | Y0 0.083592 | 442.4s
  Epoch 2200 | Loss 1.8095e-03 | Y0 0.083377 | 463.5s
  Epoch 2300 | Loss 1.8192e-03 | Y0 0.083495 | 484.5s
  Epoch 2400 | Loss 1.7521e-03 | Y0 0.083232 | 505.6s
  Epoch 2500 | Loss 1.9327e-03 | Y0 0.083512 | 526.8s
  Epoch 2600 | Loss 1.9198e-03 | Y0 0.083528 | 547.8s
  Epoch 2700 | Loss 1.7021e-03 | Y0 0.083507 | 568.9s
  Epoch 2800 | Loss 1.6084e-03 | Y0 0.083533 | 590.0s
  Epoch 2900 | Loss 1.5483e-03 | Y0 0.083510 | 611.0s
  Epoch 2999 | Loss 1.8373e-03 | Y0 0.083575 | 631.9s
Training complete.  Y0 = 0.083575  (631.9s)

============================================================
  AdamW + Scheduled LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001000 | 0.2s
  Epoch  100 | Loss 1.5006e-02 | Y0 0.070330 | 21.3s
  Epoch  200 | Loss 7.9854e-03 | Y0 0.082788 | 42.6s
  Epoch  300 | Loss 7.7024e-03 | Y0 0.084025 | 63.7s
  Epoch  400 | Loss 6.1592e-03 | Y0 0.083752 | 84.8s
  Epoch  500 | Loss 5.8660e-03 | Y0 0.083381 | 106.0s
  Epoch  600 | Loss 5.4950e-03 | Y0 0.083452 | 127.1s
  Epoch  700 | Loss 4.9133e-03 | Y0 0.084082 | 148.0s
  Epoch  800 | Loss 4.4645e-03 | Y0 0.082805 | 169.2s
  Epoch  900 | Loss 4.2075e-03 | Y0 0.083650 | 190.3s
  Epoch 1000 | Loss 3.7190e-03 | Y0 0.083658 | 211.4s
  Epoch 1100 | Loss 3.5882e-03 | Y0 0.083669 | 232.7s
  Epoch 1200 | Loss 3.3776e-03 | Y0 0.084077 | 253.8s
  Epoch 1300 | Loss 3.2826e-03 | Y0 0.083059 | 274.9s
  Epoch 1400 | Loss 2.8468e-03 | Y0 0.084260 | 296.0s
  Epoch 1500 | Loss 2.8857e-03 | Y0 0.084190 | 317.1s
  Epoch 1600 | Loss 2.0401e-03 | Y0 0.083846 | 338.2s
  Epoch 1700 | Loss 1.8570e-03 | Y0 0.083752 | 359.3s
  Epoch 1800 | Loss 1.6392e-03 | Y0 0.083590 | 380.4s
  Epoch 1900 | Loss 1.7927e-03 | Y0 0.083616 | 401.6s
  Epoch 2000 | Loss 1.9393e-03 | Y0 0.083512 | 422.6s
  Epoch 2100 | Loss 1.8497e-03 | Y0 0.083605 | 443.7s
  Epoch 2200 | Loss 1.7598e-03 | Y0 0.083428 | 464.9s
  Epoch 2300 | Loss 1.7714e-03 | Y0 0.083515 | 486.0s
  Epoch 2400 | Loss 1.6956e-03 | Y0 0.083200 | 507.1s
  Epoch 2500 | Loss 1.8784e-03 | Y0 0.083529 | 528.2s
  Epoch 2600 | Loss 1.9217e-03 | Y0 0.083548 | 549.3s
  Epoch 2700 | Loss 1.7129e-03 | Y0 0.083526 | 570.2s
  Epoch 2800 | Loss 1.5990e-03 | Y0 0.083537 | 591.3s
  Epoch 2900 | Loss 1.5622e-03 | Y0 0.083519 | 612.5s
  Epoch 2999 | Loss 1.7990e-03 | Y0 0.083590 | 633.4s
Training complete.  Y0 = 0.083590  (633.4s)

========================================================================
Group                          Final Y0   Final Loss    Time(s)
------------------------------------------------------------------------
Adam + Constant LR             0.083578   2.1432e-03      624.3
AdamW + Constant LR            0.083613   2.1659e-03      634.4
Adam + Scheduled LR            0.083575   1.8373e-03      631.9
AdamW + Scheduled LR           0.083590   1.7990e-03      633.4
========================================================================
Saved: figs/ablation_structure_d50.png

Training-strategy ablation complete.
