Logging to /home/admin2/svjdm/experiments/phase4_barrier_jump_20260309.log

############################################################
# lambda = 0.0
############################################################
=== Barrier Option (SVJDM)  d=50  N=100  M=1024 ===
    Barrier=0.7  Rebate=0.0
Training complete.  Y0 = 0.010404  (845.4s)
  Evaluated knock-out rate: 0.6959

############################################################
# lambda = 1.0
############################################################
=== Barrier Option (SVJDM)  d=50  N=100  M=1024 ===
    Barrier=0.7  Rebate=0.0
  Epoch    0 | Loss 4.7245e-01 | Y0 0.001056 | Surv 24.22% | 0.3s
  Epoch  100 | Loss 9.0970e-03 | Y0 0.000992 | Surv 22.07% | 28.5s
  Epoch  200 | Loss 6.9071e-03 | Y0 0.001202 | Surv 24.41% | 56.5s
  Epoch  300 | Loss 7.2532e-03 | Y0 0.001206 | Surv 23.24% | 84.6s
  Epoch  400 | Loss 6.6052e-03 | Y0 0.002014 | Surv 24.02% | 112.8s
  Epoch  500 | Loss 5.9957e-03 | Y0 0.001434 | Surv 22.46% | 140.9s
  Epoch  600 | Loss 4.9999e-03 | Y0 0.001247 | Surv 19.73% | 169.0s
  Epoch  700 | Loss 5.0854e-03 | Y0 0.000747 | Surv 18.36% | 197.3s
  Epoch  800 | Loss 5.6655e-03 | Y0 0.001590 | Surv 22.17% | 225.4s
  Epoch  900 | Loss 4.7003e-03 | Y0 0.001888 | Surv 21.19% | 253.7s
  Epoch 1000 | Loss 4.3827e-03 | Y0 0.000878 | Surv 19.82% | 282.1s
  Epoch 1100 | Loss 4.9587e-03 | Y0 0.002053 | Surv 22.27% | 310.4s
  Epoch 1200 | Loss 4.6492e-03 | Y0 0.001859 | Surv 21.78% | 338.7s
  Epoch 1300 | Loss 4.1048e-03 | Y0 0.001452 | Surv 20.02% | 367.2s
  Epoch 1400 | Loss 4.4153e-03 | Y0 0.001358 | Surv 22.85% | 395.5s
  Epoch 1500 | Loss 3.5196e-03 | Y0 0.001399 | Surv 24.41% | 423.8s
  Epoch 1600 | Loss 3.5757e-03 | Y0 0.001391 | Surv 19.24% | 452.1s
  Epoch 1700 | Loss 3.6452e-03 | Y0 0.001415 | Surv 21.78% | 480.2s
  Epoch 1800 | Loss 3.2214e-03 | Y0 0.001477 | Surv 21.19% | 508.2s
  Epoch 1900 | Loss 2.8317e-03 | Y0 0.001443 | Surv 20.80% | 536.4s
  Epoch 2000 | Loss 3.0150e-03 | Y0 0.001599 | Surv 22.66% | 564.5s
  Epoch 2100 | Loss 2.9253e-03 | Y0 0.001383 | Surv 21.97% | 592.7s
  Epoch 2200 | Loss 2.9528e-03 | Y0 0.001479 | Surv 20.90% | 620.9s
  Epoch 2300 | Loss 2.8314e-03 | Y0 0.001234 | Surv 17.97% | 649.1s
  Epoch 2400 | Loss 2.6820e-03 | Y0 0.001248 | Surv 22.56% | 677.5s
  Epoch 2500 | Loss 3.0351e-03 | Y0 0.001245 | Surv 22.75% | 705.7s
  Epoch 2600 | Loss 2.8772e-03 | Y0 0.001208 | Surv 22.36% | 734.1s
  Epoch 2700 | Loss 2.8691e-03 | Y0 0.001317 | Surv 23.24% | 762.3s
  Epoch 2800 | Loss 2.8323e-03 | Y0 0.001268 | Surv 21.39% | 790.4s
  Epoch 2900 | Loss 2.7347e-03 | Y0 0.001239 | Surv 23.54% | 818.6s
  Epoch 2999 | Loss 2.6321e-03 | Y0 0.001271 | Surv 19.24% | 846.6s
Training complete.  Y0 = 0.001271  (846.6s)
  Evaluated knock-out rate: 0.7864

############################################################
# lambda = 2.0
############################################################
=== Barrier Option (SVJDM)  d=50  N=100  M=1024 ===
    Barrier=0.7  Rebate=0.0
  Epoch    0 | Loss 3.5059e-01 | Y0 0.001056 | Surv 12.40% | 0.3s
  Epoch  100 | Loss 1.0369e-02 | Y0 0.000126 | Surv 11.23% | 28.5s
  Epoch  200 | Loss 6.6392e-03 | Y0 -0.000340 | Surv 9.47% | 56.7s
  Epoch  300 | Loss 6.8488e-03 | Y0 -0.000394 | Surv 11.23% | 85.0s
  Epoch  400 | Loss 7.5525e-03 | Y0 -0.000101 | Surv 11.82% | 113.3s
  Epoch  500 | Loss 6.8697e-03 | Y0 -0.000148 | Surv 12.21% | 141.5s
  Epoch  600 | Loss 5.0101e-03 | Y0 -0.000108 | Surv 11.43% | 169.7s
  Epoch  700 | Loss 5.8059e-03 | Y0 -0.000586 | Surv 11.52% | 198.0s
  Epoch  800 | Loss 5.1850e-03 | Y0 -0.000016 | Surv 10.94% | 226.1s
  Epoch  900 | Loss 4.8778e-03 | Y0 0.000156 | Surv 12.21% | 254.1s
  Epoch 1000 | Loss 4.0149e-03 | Y0 -0.000391 | Surv 10.35% | 282.4s
  Epoch 1100 | Loss 4.7785e-03 | Y0 -0.000425 | Surv 10.74% | 310.5s
  Epoch 1200 | Loss 4.9925e-03 | Y0 -0.000097 | Surv 10.06% | 338.7s
  Epoch 1300 | Loss 4.3921e-03 | Y0 -0.000237 | Surv 10.45% | 367.0s
  Epoch 1400 | Loss 4.1022e-03 | Y0 -0.000776 | Surv 9.77% | 395.3s
  Epoch 1500 | Loss 3.3411e-03 | Y0 -0.000850 | Surv 8.98% | 423.5s
  Epoch 1600 | Loss 2.9390e-03 | Y0 -0.000535 | Surv 9.57% | 451.7s
  Epoch 1700 | Loss 2.6677e-03 | Y0 -0.000428 | Surv 10.55% | 479.8s
  Epoch 1800 | Loss 3.5999e-03 | Y0 -0.000374 | Surv 10.45% | 508.0s
  Epoch 1900 | Loss 2.9757e-03 | Y0 -0.000331 | Surv 10.45% | 536.4s
  Epoch 2000 | Loss 3.3176e-03 | Y0 -0.000404 | Surv 10.25% | 564.7s
  Epoch 2100 | Loss 3.3715e-03 | Y0 -0.000364 | Surv 11.33% | 592.8s
  Epoch 2200 | Loss 2.6990e-03 | Y0 -0.000471 | Surv 10.35% | 621.1s
  Epoch 2300 | Loss 2.7466e-03 | Y0 -0.000352 | Surv 10.35% | 649.2s
  Epoch 2400 | Loss 3.0666e-03 | Y0 -0.000508 | Surv 10.94% | 677.5s
  Epoch 2500 | Loss 3.0893e-03 | Y0 -0.000399 | Surv 11.23% | 705.6s
  Epoch 2600 | Loss 3.0528e-03 | Y0 -0.000428 | Surv 11.91% | 733.7s
  Epoch 2700 | Loss 2.7606e-03 | Y0 -0.000461 | Surv 10.25% | 761.8s
  Epoch 2800 | Loss 2.5402e-03 | Y0 -0.000416 | Surv 10.74% | 790.1s
  Epoch 2900 | Loss 2.5821e-03 | Y0 -0.000402 | Surv 11.33% | 818.2s
  Epoch 2999 | Loss 2.9137e-03 | Y0 -0.000404 | Surv 10.06% | 846.0s
Training complete.  Y0 = -0.000404  (846.0s)
  Evaluated knock-out rate: 0.8921

========================================================================
    Lambda     Price (Y0)     Knock-out Rate     Time (s)
------------------------------------------------------------------------
       0.0       0.054100            56.18%        836.3
       0.5       0.010404            69.59%        845.4
       1.0       0.001271            78.64%        846.6
       2.0      -0.000404            89.21%        846.0
========================================================================
Saved: figs/phase4_barrier_jump.png

Phase 4 (Jump Impact on Knock-outs) complete.
