Logging to /home/admin2/svjdm/experiments/ablation_structure_20260309.log

############################################################
# Training-Strategy Ablation — d = 50
############################################################

============================================================
  Adam + Constant LR
============================================================
  Epoch 1600 | Loss 2.0956e-03 | Y0 0.083815 | 333.3s
  Epoch 1700 | Loss 1.9879e-03 | Y0 0.083750 | 354.1s
  Epoch 1800 | Loss 1.6980e-03 | Y0 0.083596 | 374.9s
  Epoch 1900 | Loss 1.8647e-03 | Y0 0.083646 | 395.8s
  Epoch 2000 | Loss 1.9666e-03 | Y0 0.083483 | 416.5s
  Epoch 2100 | Loss 1.8258e-03 | Y0 0.083592 | 437.2s
  Epoch 2200 | Loss 1.8095e-03 | Y0 0.083377 | 458.0s
  Epoch 2300 | Loss 1.8192e-03 | Y0 0.083495 | 478.7s
  Epoch 2400 | Loss 1.7521e-03 | Y0 0.083232 | 499.4s
  Epoch 2500 | Loss 1.9327e-03 | Y0 0.083512 | 520.2s
  Epoch 2600 | Loss 1.9198e-03 | Y0 0.083528 | 540.9s
  Epoch 2700 | Loss 1.7021e-03 | Y0 0.083507 | 561.8s
  Epoch 2800 | Loss 1.6084e-03 | Y0 0.083533 | 582.5s
  Epoch 2900 | Loss 1.5483e-03 | Y0 0.083510 | 603.2s
  Epoch 2999 | Loss 1.8373e-03 | Y0 0.083575 | 623.8s
Training complete.  Y0 = 0.083575  (623.8s)

============================================================
  NAdam + Scheduled LR
============================================================
  Epoch    0 | Loss 9.0231e-01 | Y0 0.001056 | 0.3s
  Epoch  100 | Loss 1.4365e-02 | Y0 0.065521 | 22.2s
  Epoch  200 | Loss 1.0341e-02 | Y0 0.081355 | 44.3s
  Epoch  300 | Loss 9.3048e-03 | Y0 0.083405 | 66.4s
  Epoch  400 | Loss 7.4621e-03 | Y0 0.083488 | 88.6s
  Epoch  500 | Loss 6.4794e-03 | Y0 0.083656 | 110.8s
  Epoch  600 | Loss 5.7858e-03 | Y0 0.084064 | 132.9s
  Epoch  700 | Loss 5.2874e-03 | Y0 0.084085 | 154.9s
  Epoch  800 | Loss 4.5471e-03 | Y0 0.082985 | 177.1s
  Epoch  900 | Loss 4.3368e-03 | Y0 0.083492 | 199.2s
